name	ID	upgrades	land	initial	manpower cost	energy burn rate	hit points	build time	type	trigger on	visible on	attack radius	effect radius	num attacks	attack min hp	attack max hp	wipe_duration	cooldown time	capacity	xp per hour	flank nullifies	max count	description
Wall	0				4	1	20	0	wall	none	always												Sturdy stone barriers that afford solid protection from our enemies.
Wall II	1	Wall			8	2	40	20	wall	none	always												The addition of steel frames and braces make significantly tougher walls.
Wall III	2	Wall II			12	5	100	60	wall	none	always												Reinforced concrete allows us to build walls that are thicker and stronger.
Plasma Screen	3				18	8	160	20	wall	none	always												A barrier of burning plasma that makes a difficult obstacle for our enemies.
Plasma Screen II	4	Plasma Screen			24	12	240	60	wall	none	always												Using advanced physics we're able to shape plasma to form a more effective barricade.
Plasma Screen III	5	Plasma Screen II			30	20	400	300	wall	none	always												Advanced materials allows us to contain and deploy more powerful sheets of plasma.
Void Dam	6				40	30	600	60	wall	none	always												An enclosure that interfaces with another dimension, so that anything that tries to penetrate it is ripped from this universe.
Void Dam II	7	Void Dam			50	45	900	300	wall	none	always												Teleportation technology enables us to build void dams that defend us from even more massive attacks.
Void Dam III	8	Void Dam II			60	60	1200	900	wall	none	always												The vast energy now at our disposal allows us to deploy incredibly powerful void dams.
Cannon	9				12	15	8	30	directed_multiple	radius_attack	triggered	2		1	5	10		15					When an empty square belonging to our nation is attacked within a radius of {attack_radius} of this cannon, it will fire at the location that launched the attack.
Cannon II	10	Cannon			18	22	12	60	directed_multiple	radius_attack	triggered	2		1	8	16		15					Advancing metallurgy allows us to build a more powerful cannon, that targets the origin of any attack on an empty square belonging to our nation within a radius of {attack_radius}.
Cannon III	11	Cannon II			24	30	15	300	directed_multiple	radius_attack	triggered	2		2	10	20		15					Improved gunpowder results in a devestating cannon that will fire more than once in response to an attack on an empty square belonging to us within a radius of {attack_radius}.
Artillery Battery	12				40	38	20	60	directed_multiple	radius_attack	triggered	3		2	15	30		15					Launches explosive ordinance that devastates enemy forces. Fires in response to an attack on an empty square belonging to our nation within a radius of {attack_radius}. 
Artillery Battery II	13	Artillery Battery			60	55	25	300	directed_multiple	radius_attack	triggered	3		3	25	50		15					Hardened materials produce even more damaging results from this launcher that fires in response to any attack on an empty square belonging to our nation within a radius of {attack_radius}.
Artillery Battery III	14	Artillery Battery II			80	70	35	900	directed_multiple	radius_attack	triggered	3		3	35	70		15					Heavy explosives are directed at our enemy's forces in response to any attempt to invade a nearby empty location within a radius of {attack_radius}.
Rocket Launcher	15				100	90	45	300	directed_multiple	radius_attack	triggered	4		4	40	90		15					Multiple volleys of rockets are launched at enemy forces who attempt an incursion into an empty square within our territory within a radius of {attack_radius}.
Rocket Launcher II	16	Rocket Launcher			125	115	55	900	directed_multiple	radius_attack	triggered	4		4	45	120		15					Compact solid fuel rockets allow even more to be launched at one time in responce to enemy aggression toward an empty square belonging to us within a radius of {attack_radius}.
