name	ID	category	order	icon	initial	random	duration type	duration time	default price	min price	max price	prerequisite tech 1	prerequisite tech 2	prerequisite level	bonus type 1	bonus val 1	bonus val max 1	bonus type 2	bonus val 2	bonus val max 2	bonus type 3	bonus val 3	bonus val max 3	new structure	obsolete structure	obsolete tech	description
### Version 1																											
### Tech Advances																											
Chemistry	0	tech	1				permanent		0						salvage_value	5		attack_manpower	6		tech	1					Knowledge of chemical interactions, and techniques capable of producing useful concoctions.
Electromagnetism	1	tech	1				permanent		0			Chemistry			manpower_max	3750		manpower_rate	320		tech	1					An understanding of how electric and magnetic fields interact allows us to harness powerful natural forces.
Electromagnetic Coherer	2	tech	1				permanent		0			Electromagnetism			energy_max	820					tech	1					This primitive radio signal detector allows simple messages to be sent great distances through the air.
Crystal Receiver	3	tech	1				permanent		0			Electromagnetic Coherer			crit_chance	3					tech	1					A more advanced radio signal receiver allowing reception of more complex messages at greater distances.
Electronic Oscillator	4	tech	1				permanent		0			Crystal Receiver			manpower_rate	160		energy_max	820		tech	1					This signal generating device enables more powerful radio transmissions, and underlies many further advances.
Electronics	5	tech	1				permanent		0			Electronic Oscillator			attack_manpower	12					tech	1					An understanding of how to manipulate electrons, so as to control machinery or quickly transmit and process information.
Elementary Computer	6	tech	1				permanent		0			Electronics			xp_multiplier	16		salvage_value	5		tech	1					A basic information processing device that promises to be very useful in both warfare and research.
Digital Communication	7	tech	1				permanent		0			Elementary Computer			hp_restore	12		geo_efficiency	1		tech	1					Rapid, automated, high bandwidth communication allows for the manipulation of vast amounts of information.
Advanced Chemistry	8	tech	1				permanent		0			Digital Communication			manpower_max	3750		energy_rate	145		tech	1					Advanced methods and techniques for manipulating chemicals in useful ways.
Advanced Materials	9	tech	1				permanent		0			Advanced Chemistry			hp_per_square	4		energy_max	1640		tech	2					Techniques for mass producing useful advanced materials, such as carbon nanotubes and superconducting ceramics.
